time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763418.61469173,0.00501897,2955,0.00030950,0.00000000,0,0.00000000,18213,18251,168,0.00011700
1733763418.68069315,0.00601686,3132,0.00038491,0.00000000,0,0.00000000,18251,18248,163,0.00006711
1733763418.68069315,0.00612074,3132,0.00025286,0.00000000,0,0.00000000,18248,18248,107,0.00010606
1733763418.75269485,0.00866860,3186,0.00062486,0.00000000,0,0.00000000,18248,18442,395,0.00011360
1733763418.75269485,0.00760729,3186,0.00067741,0.00000000,0,0.00000000,18442,18452,219,0.00006369
1733763418.82169628,0.00569763,2573,0.00046914,0.00000000,0,0.00000000,18452,18548,265,0.00009623
1733763418.82169628,0.00372085,2573,0.00024323,0.00000000,0,0.00000000,18548,18584,145,0.00010373
1733763418.89069772,0.00509045,2574,0.00039022,0.00000000,0,0.00000000,18584,18707,241,0.00009473
1733763418.89069772,0.00673664,2574,0.00030907,0.00000000,0,0.00000000,18707,18763,115,0.00006521
1733763418.95969915,0.00634309,3093,0.00134859,0.00000000,0,0.00000000,18763,19093,340,0.00009959
1733763418.95969915,0.00558936,3093,0.00028885,0.00000000,0,0.00000000,17418,17509,170,0.00010148
1733763419.02870059,0.00668419,3076,0.00023912,0.00000000,0,0.00000000,17509,17644,167,0.00009945
1733763419.02870059,0.00541128,3076,0.00014760,0.00000000,0,0.00000000,17644,17674,79,0.00010403
1733763419.09770203,0.00591128,3211,0.00040433,0.00000000,0,0.00000000,17674,17950,354,0.00010822
1733763419.09770203,0.00762969,3211,0.00053065,0.00000000,0,0.00000000,17950,17989,166,0.00010421
1733763419.16670370,0.00522179,2412,0.00036619,0.00000000,0,0.00000000,17989,18138,247,0.00007999
1733763419.16670370,0.00513102,2412,0.00038023,0.00000000,0,0.00000000,18138,18176,129,0.00011120
1733763419.23870516,0.00562404,2325,0.00034150,0.00000000,0,0.00000000,18176,18322,239,0.00010445
1733763419.23870516,0.00582654,2325,0.00032633,0.00000000,0,0.00000000,18322,18372,117,0.00007788
